Address|Price(MX$)|Bedrooms|Bathrooms|Size(m2)
  Departamento En Renta En Polanco Con 3 Recamaras., Polanco, Miguel Hidalgo, Distrito Federal (cdmx)|58215|3|3.0|250
  Chosica 655-3 Col.lindavista, Ciudad De México, Distrito Federal (cdmx)|13800|2|1.0|120
  Av. Presidente Masaryk 123, Polanco, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)|37200|2||60
  Goldsmith a, 0, Polanco Iii Sección, Miguel Hidalgo, Distrito Federal (cdmx)|77620|3|4.0|180
  Damas 76, San José Insurgentes, Benito Juárez, Distrito Federal (cdmx)|28000|3|3.0|171
  Av Bonampak Sm27 01, Benito Juárez, Distrito Federal (cdmx)|45000|4|4.0|320
  Atenas 3, Lomas De Padierna, Tlalpan, Distrito Federal (cdmx)|2700|1|1.0|25
  Bajio 232, Roma Sur, Cuauhtémoc, Distrito Federal (cdmx)|19500|2|2.0|105
  Popocatpetl 233 Santa Cruz Atoyac, Distrito Federal (cdmx)|14000|2|2.0|70
  Sagredo 253, Álvaro Obregón, Distrito Federal (cdmx)|25800|2|2.0|48
  Genova 20, Juárez, Cuauhtémoc, Distrito Federal (cdmx)|20000|2|2.0|118
  Bruno Traven 93, 1, General Pedro Maria Anaya, Benito Juárez, Distrito Federal (cdmx)|18500|2|2.0|100
  Prolongación 5 De Mayo, Lomas De Tarango, Álvaro Obregón, Distrito Federal (cdmx)|6950|2|1.0|46
  Av. Mexico 359, Cuajimalpa De Morelos, Distrito Federal (cdmx)|23500|3|3.0|148
  Adolfo Prieto 1033, Del Valle, Benito Juárez, Distrito Federal (cdmx)|30000|2|2.0|116
  Av. Santa Fe 449, Cuajimalpa De Morelos, Distrito Federal (cdmx)|20000|3|3.0|173
  Culiacán 108, Condesa, Ciudad De México, Colonia Condesa, Cuauhtémoc, Distrito Federal (cdmx)|21500|2|2.0|130
  Lago Alberto 300, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)|18000|1|1.0|52
  Av. De Las Torres Al 800, Álvaro Obregón, Distrito Federal (cdmx)|14000|1|1.0|54
  Adolfo Prieto 1033, Del Valle, Benito Juárez, Distrito Federal (cdmx)|34000|2|2.0|116
  Tiburcio Sánchez De La Barquera 115, Merced Gómez, Benito Juárez, Distrito Federal (cdmx)|20000|2|2.0|98
  Chosica 655-3 Col. Lindavista, Distrito Federal (cdmx)|13800|2|1.0|120
  Xicoténcatl 137, Colonia Del Carmen, Coyoacán, Distrito Federal (cdmx)|10000|1|1.0|60
  Mexico Coyoacan 371, Xoco, Benito Juárez, Distrito Federal (cdmx)|20000|2|2.0|80
  Sanchez Azcona 1651, Del Valle Sur, Benito Juárez, Distrito Federal (cdmx)|17000|2|1.0|114
  Prolongación Reforma 1190, Cuajimalpa De Morelos, Distrito Federal (cdmx)|35000|2|2.0|140
