Address|Price(MX$)|Bedrooms|Bathrooms|Size(m2)
Departamento en Renta Textitlán 42, Santa Ursula Coapa, Coyoacán, Distrito Federal (cdmx)|8,000 MX$|2|1|60m2
"Departamento en Renta Departamento En Renta En Polanco Con 3 Recamaras.
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|58,215 MX$|3|3|250m2
Departamento en Renta Chosica 655-3 Col.lindavista, Ciudad De México, Distrito Federal (cdmx)|13,800 MX$|2|1|120m2
Departamento en Renta Av. Presidente Masaryk 123, Polanco, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)|37,200 MX$|2||60m2
"Departamento en Renta Goldsmith #a, 0
, Polanco Iii Sección, Miguel Hidalgo, Distrito Federal (cdmx)"|77,620 MX$|3|4|180m2
Departamento en Renta Damas 76, San José Insurgentes, Benito Juárez, Distrito Federal (cdmx)|28,000 MX$|3|3|171m2
"Departamento en Renta Av Bonampak Sm27 #01
, Benito Juárez, Distrito Federal (cdmx)"|45,000 MX$|4|4|320m2
"Departamento en Renta Atenas #3
, Lomas De Padierna, Tlalpan, Distrito Federal (cdmx)"|2,700 MX$|1|1|25m2
"Departamento en Renta Bajio #232
, Roma Sur, Cuauhtémoc, Distrito Federal (cdmx)"|19,500 MX$|2|2|105m2
Departamento en Renta Popocatpetl 233 Santa Cruz Atoyac, Distrito Federal (cdmx)|14,000 MX$|2|2|70m2
"Departamento en Renta Sagredo #253
, Álvaro Obregón, Distrito Federal (cdmx)"|25,800 MX$|2|2|48m2
Departamento en Renta Genova 20, Juárez, Cuauhtémoc, Distrito Federal (cdmx)|20,000 MX$|2|2|118m2
"Departamento en Renta Bruno Traven #93, 1
, General Pedro Maria Anaya, Benito Juárez, Distrito Federal (cdmx)"|18,500 MX$|2|2|100m2
"Departamento en Renta Prolongación 5 De Mayo
, Lomas De Tarango, Álvaro Obregón, Distrito Federal (cdmx)"|6,950 MX$|2|1|46m2
"Departamento en Renta Av. Mexico #359
, Cuajimalpa De Morelos, Distrito Federal (cdmx)"|23,500 MX$|3|3|148m2
"Departamento en Renta Adolfo Prieto #1033
, Del Valle, Benito Juárez, Distrito Federal (cdmx)"|30,000 MX$|2|2|116m2
Departamento en Renta Av. Santa Fe 449, Cuajimalpa De Morelos, Distrito Federal (cdmx)|20,000 MX$|3|3|173m2
Departamento en Renta Culiacán 108, Condesa, Ciudad De México, Colonia Condesa, Cuauhtémoc, Distrito Federal (cdmx)|21,500 MX$|2|2|130m2
"Departamento en Renta Lago Alberto #300
, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)"|18,000 MX$|1|1|52m2
"Departamento en Renta Av. De Las Torres Al 800
, Álvaro Obregón, Distrito Federal (cdmx)"|14,000 MX$|1|1|54m2
"Departamento en Renta Adolfo Prieto #1033
, Del Valle, Benito Juárez, Distrito Federal (cdmx)"|34,000 MX$|2|2|116m2
